"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category","quantity_to_sell_on_facebook","sale_price","sale_price_effective_date","item_group_id","gender","color","size","age_group","material","pattern","shipping","shipping_weight","style"
"11","Decumaria baby shirt","\nMonotone colors and stunning designs along with a comfortable fabric makes it a perfect wear for your child. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","1165 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030073IJ03191319/14_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030073IJ03191319/14_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1165 BDT","","","","Beige","","all ages","","","","0 g",""
"12","Dandelion baby shirt","Light designs on a dark base and comfortable fabric makes it a perfect wear for your child. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","1165 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030085IJ11194419/15_2.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030085IJ11194419/15_2.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","1165 BDT","","","","Teal","","all ages","","","","0 g",""
"13","Pansay Cotton Shirt","The segment of characteristic color myrobalan shows brilliant golden tone in this wax-printed cotton shirt. All Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","965 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030086IJ11194319/16_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0030086IJ11194319/16_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","965 BDT","","","","Golden","","all ages","","","","0 g",""
"14","Estrella Baby Cotton Voil Salwar Kameez","The mesmerizing combination of the pink from betelnuts and brown from catechu gives the three pieces a subtle touch of elegance, rarely found anywhere else. Wax print has been used on cotton fabric to create the unique designs, while ensuring the highest easement. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","2385 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050470SF04190819/17_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050470SF04190819/17_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","2385 BDT","","","","Brown,Pink","","all ages","","","","0 g",""
"15","Meghmala Linen Suit","The blue color in this salwar kameez is extracted from handpicked indigo. The Wax print has been utilized on linen fabric to create expuisite plans. All Aranya products are hand made, using natural fibers and materials within a fair trade framework.","in stock","new","2385 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050500SFE1204619/18_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050500SFE1204619/18_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","2385 BDT","","","","Blue","","all ages","","","","0 g",""
"16","Billergia baby suits","Similar tones and minimal designs of this dress greatly compliment each other. Comfortable fabric provides soothing touch for your baby's skin. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","1875 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050501IJ12194519/19_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050501IJ12194519/19_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1875 BDT","","","","Pink","","all ages","","","","0 g",""
"17","Aconite cotton baby suits","Dual colors and minimal motifs are greatly paired with each other to create the perfect traditional piece for your baby. Cotton fabric used also provides good breathability making it good to wear all year round. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","2385 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050504FF12194819/20_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050504FF12194819/20_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","6","2385 BDT","","","","Teal,Pink","","all ages","","","","0 g",""
"18","Blazing star baby suits","Tones of blue and gray represent the rainclouds in the sky. Comfortable fabric and stunning designs make it wearable all year round. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","1685 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050505FF12190620/21_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0050505FF12190620/21_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","1685 BDT","","","","Blue,Gray","","all ages","","","","0 g",""
"19","Midnight Slayer Baby Silk Jacket","The muddy brown colors in this jacket is taken from a beuguiling brew of colors extracted from pomegranate and catechu, while the olive color is taken from organically grown myrabalan. Brush print has been used on Balaka silk to produce the camouflage patterns. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","3085 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0170027NK09193719/22_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0170027NK09193719/22_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","7","3085 BDT","","","","","","all ages","","","","0 g",""
"20","Piscina Baby Khadi Jacket","The beautiful tones of blue in this jacket are made from colors extracted from organically grown indigo. Wax print has been used on khadi fabric to make the magical patterns. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","1685 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0170029NK09193719/23_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0170029NK09193719/23_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1685 BDT","","","","Blue","","all ages","","","","0 g",""
"21","Woodland Baby Cotton Frock","The earthy tones of brown in this frock are made with colors given off by organically grown catechu. Wax print is used on cotton to produce the treelike patterns and also ensuring the softest touch to the baby skin. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","1185 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200021IJ03191219/24_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200021IJ03191219/24_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","1185 BDT","","","","Brown","","all ages","","","","0 g",""
"22","Ellipse Cotton Baby Frock","The mix of red and black color in this enthusiastic baby frock is taken from the best-handpicked madder. Black kashmi print has been utilized on cotton material to create detailed intricacies. All Aranya products are hand made, using natural fibers and materials within a fair trade framework.","in stock","new","1875 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200026SF03191319/25_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200026SF03191319/25_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","1875 BDT","","","","Red,Black","","all ages","","","","0 g",""
"23","Oval Baby Frock","The magnificent color in this baby Frock/dress is made from hand-plucked Indigo which is resembles blue shades. Wax print has been used on cotton fabric to produce the designs. All Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","1675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200028SF04191519/26_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200028SF04191519/26_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","1675 BDT","","","","Blue,Black","","all ages","","","","360 g",""
"24","Summer Fruits Baby Cotton Frock","The off white color of this frock gives out a vibe of everything pure and peaceful. This frock has been crafted with cotton material to ensure the highest comfort for your baby. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","1675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200029IJ04191519/27_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200029IJ04191519/27_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","1675 BDT","","","","Off-White","","all ages","","","","0 g",""
"25","Tierra Baby Cotton Voil Frock","This graceful baby frock has been dyed with the purest brown extracted from organically grown catechu. Plain dye technique has been used to immerse the color on a cotton material to provide the utmost comfort. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","1675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200035FF07192819/28_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200035FF07192819/28_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","6","1675 BDT","","","","Brown","","all ages","","","","0 g",""
"26","Anahi Baby Frock","The eye-catching brown color of this frock is exclusively taken from organically grown catechu. The mesmerizing designs are made with wax print on cotton fabric, providing the best of both easement and beauty. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","2075 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200037SF07192819/29_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200037SF07192819/29_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","2075 BDT","","","","Brown","","all ages","","","","0 g",""
"27","Espumosa Baby Cotton Voil Frock","The enchanting shades of blue in this frock are all extracted from organically grown indigo. Wax print has been used on cotton fabric to make the captivating imprints and also securing the most easement. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","1875 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200044SF07193219/30_2.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200044SF07193219/30_2.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","1875 BDT","","","","Blue","","all ages","","","","0 g",""
"28","Avro Cotton Baby Frock","The magnificent color in this baby forck is made from handplucked promegranate and myrabalan which is resemble of olive. traditional kantha stithc has been used on cotton fabric to produce the designs. All Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","2975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200046SF07193119/31_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200046SF07193119/31_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","5","2975 BDT","","","","Olive","","all ages","","","","0 g",""
"29","Kadambini Cotton Frock","The different shades of a heavenly blue in this baby frock are all extracted from organic indigo. Wax print has been used over cotton fabric to produce the cloudy vibrance. All Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","1375 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200049FF07193119/32_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200049FF07193119/32_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1375 BDT","","","","Blue","","all ages","","","","0 g",""
"30","Kalpis Baby Frock","The sweet color in this baby forck/dress is made from hand-plucked batelnut which is resembles pink tone. Traditional wax print has been used on cotton fabric to produce the designs. All Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","1375 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200050FF07193119/33_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200050FF07193119/33_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","1375 BDT","","","","Pink","","all ages","","","","360 g",""
"31","Alyssa Cotton Baby Frock","Indigo is used to produce the blue color seen in this frock. Wax-print is used beautifully on a cotton fabric, which secures the smoothest touch to the skin. All Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","2275 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200053IJ08193319/34_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200053IJ08193319/34_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","2275 BDT","","","","Blue","","all ages","","","","0 g",""
"32","Peach Vibes Baby Silk Kantha Frock","The soothing red color seen in this frock is extracted from organically grown madder. Kanthastitch hasbeen used on allover dyed silk to give a slight touch of the Bengali traditions. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","4575 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200056SF11194219/35_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0200056SF11194219/35_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","4575 BDT","","","","Red","","all ages","","","","0 g",""
"33","Blue eyed grass frock","Monotone colors and stunning designs along with a comfortable fabric makes it a perfect wear for your child.","in stock","new","1495 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K021041NKE1181918/11_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K021041NKE1181918/11_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","1495 BDT","","","","Beige","","all ages","","","","0 g",""
"34","Freesia baby frock","The simple designs of this outfit make it a goood wear for your little one. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","865 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0530002IJ12194619/36_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0530002IJ12194619/36_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","8","865 BDT","","","","Gray","","all ages","","","","0 g",""
"35","Cosmo baby frock","This dual color and vividly designed combination of dresses can be the best choice for your baby. No harmful colors and the smoothest touch to their skin. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","985 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0540001SF04193119/37_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0540001SF04193119/37_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","985 BDT","","","","Blue","","all ages","","","","0 g",""
"36","Mimosa baby frock","This dual color and vividly designed combination of dresses can be the best choice for your baby. No harmful colors and the smoothest touch to their skin. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","865 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0540003SF07193119/39_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0540003SF07193119/39_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","8","865 BDT","","","","Brown","","all ages","","","","0 g",""
"37","Pansies baby frock","This color and vividly designed combination of dresses can be the best choice for your baby. No harmful colors and the smoothest touch to their skin. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","865 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0540004IJ07193119/40_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/K0540004IJ07193119/40_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","865 BDT","","","","","","all ages","","","","0 g",""
"38","Space Yonder Cotton Panjabi","Teal and Black coloured Cotton Panjabi dyed from Indigo, Myrabalan and Kashmi. A layer of rich detail has been added by Block-printed designs. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","3675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010164AR0817/42_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010164AR0817/42_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","3675 BDT","","","","Teal,Black","","all ages","","","","255 g",""
"39","Spinel Cotton Voil Panjabi","The red shade on this block printed voil cotton Panjabi creates a festive look. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","3930 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010275SMA08182218/43_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010275SMA08182218/43_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","3930 BDT","","","","Red","","all ages","","","","0 g",""
"40","Cadbury Cotton Panjabi","Catechu is the natural dye ingredient which is used on this brown cotton Panjabi. It has been furnished with a shibori plain dyed. \n \nAll Aranya products are handmade, using natural fibres and materials, within a fair trade framework.","in stock","new","3675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010278RGE2182218/44_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010278RGE2182218/44_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","3675 BDT","","","","Brown","","all ages","","","","255 g",""
"41","Jolpaiguri Cotton Panjabi","Pomegranate ; Myrabalan are a few natural dye ingredients which were applied through wax resist ; plain dyed to achieve olive ; golden textures on this cotton Panjabi. \n \nAll Aranya products are handmade, using natural fibres and materials, within a fair trade framework.","in stock","new","1975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010289MA08181119/45_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010289MA08181119/45_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1975 BDT","","","","Olive,Golden","","all ages","","","","255 g",""
"42","Juan Mens Panjabi","The eye-catching brown seen in this panjabi is extracted from handpicked catechu. The elegant motifs are made using pipe tie dye on cotton fabric, providing the highest comfort. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","2475 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010295RG0718/46.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010295RG0718/46.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","2475 BDT","","","","Brown","","all ages","","","","255 g",""
"43","Cherubic Cotton Voil Slim Fit Panjabi","The calming red color in this panjabi is extracted from organically grown madder, and the color is printed traditionally on cotton voil fabric, which ensures the utmost comfort in the scorching heat of summer. \n \nAll Aranya products are hand made, using natural fibers and materials within a fair trade framework.","in stock","new","3675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010316RGS1193018/47_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010316RGS1193018/47_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","3675 BDT","","","","Red","","all ages","","","","255 g",""
"44","Twilight Eri Cotton Panjabi","Wax printed design has been outlined on this Enri cotton Panjabi. Madder & Myrabalan were used to flourish it's Red & Gray Colors. \nEvery Aranya product is made from natural materials using craft techniques, Align with in a fair trade frame work.","in stock","new","4275 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010338IJE1191519/48_3.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010338IJE1191519/48_3.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","4275 BDT","","","","Red,Gray","","all ages","","","","255 g",""
"45","Teakwood Eri Cotton Panjabi","The natural woddem vibe is the individuallity of this panjabi which is created by natural dye and kantha stitch work.All Aranya products are handmade, using natural materials, within a fair trade framework. .","in stock","new","5975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010342FF04191819/49_2.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010342FF04191819/49_2.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","5975 BDT","","","","Brown,Beige","","all ages","","","","0 g",""
"46","Nandan Eri Silk Kantha Panjabi","The traditional way of dying Indigo and myrabalan is used to resemble the blue and gray color in this endi silk panjabi. Kantha stitch has been used on the placket to give a touch of elegance. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","7000 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010343IJ05191819/50_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010343IJ05191819/50_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","7000 BDT","","","","Blue,Gray","","all ages","","","","255 g",""
"47","Begonia Eri Cotton Panjabi","A balance of madder were used to bring out the Red colour . This Enri cotton panjabi was designed with plain dye technique to perish its natural outlook. \n \nUsing natural materials, Full hand-made Aranya's products are align within fair trade framework.","in stock","new","3675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010344MA05194719/51_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010344MA05194719/51_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","3675 BDT","","","","Red","","all ages","","","","255 g",""
"48","Empyrean Cotton Panjabi","Indigo is the primary ingredient for colouring this Cotton Pintuck-printed Panjabi in Blue hue. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","2475 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010344MA05194819/52_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010344MA05194819/52_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","2475 BDT","","","","Brown,Black","","all ages","","","","255 g",""
